State,LGA,Ward,PU-Code,PU-Name,APC,PDP,LP,NNPP,Latitude,Longitude,APC_Outlier_Score,PDP_Outlier_Score,LP_Outlier_Score,NNPP_Outlier_Score,Max_Outlier_Score
Osun,ATAKUMOSA WEST,ITAGUNMODI,29-02-06-003,ALABA/OWENA VILLAGE (OPEN SPACE) ,61,136,4,1,7.5289301,4.6492325,1,2,0,0,2
Osun,ATAKUMOSA WEST,ISA OBI,29-02-08-003,RISAWE VILLAGE,110,108,6,0,7.6242809,4.6708709,2,0,0,1,2
Osun,OBOKUN,ESA-OKE,29-24-07-012,OKE-TAFIA PRIMARY SCHOOL,106,223,0,0,7.763574,4.896008,0,2,0,1,2
Osun,ISOKAN,IDOGUN WARD,29-22-05-001,AWORIN SADIKU ADC PRY SCH,148,162,3,1,7.2837275,4.1187565,0,0,0,2,2
Osun,ISOKAN,ALAPOMU  I (ODO-OSUN),29-22-06-001,"BAPTIST PRY. SCHOOL, OKE OLOSI",132,256,0,0,7.403862,4.232291,2,1,1,2,2
Osun,IREPODUN,BARA 'B',29-20-06-007,BABA ODUNAYO,113,86,3,0,7.9021368,4.5315029,0,2,1,1,2
Osun,IREPODUN,BARA 'B',29-20-06-004,LANLOKO,107,214,0,0,7.9021368,4.5315029,0,2,1,1,2
Osun,AYEDAADE,GBONGAN RURAL,29-03-07-002,OGBAAGBA OGBAAGBA VILLAGE,0,0,0,0,7.7016673,4.251281,1,1,2,0,2
Osun,IREPODUN,BARA 'A',29-20-05-009,JAGUN  II,0,0,0,0,7.6186747,4.4479576,2,1,1,1,2
Osun,AYEDAADE,GBONGAN RURAL,29-03-07-003,WAKAJAIYE I,83,109,3,0,7.4386611,4.3359635,1,2,1,1,2
Osun,AYEDAADE,GBONGAN RURAL,29-03-07-005,"OLOBA VILLAGE, OLOBA VILLAGE",76,4,2,0,7.4386611,4.3359635,1,2,1,1,2
Osun,ILESA WEST,ISIDA/ADETI,29-19-08-005,SPACE AROUND ESIRA'S CHIEFTANCY HOUSE,113,161,19,1,7.6279079,4.7416591,2,0,0,0,2
Osun,ILESA WEST,ISIDA/ADETI,29-19-08-001,"AFRICAN PRY. SCHOL, ARAGAN",125,112,24,1,7.6279079,4.7416591,2,0,0,0,2
